;Data;Total de casos;Casos por dia;Óbitos por dia;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;26 fev;1,0;1,0;;;;;;
1;27 fev;0,0;0,0;;;;;;
2;28 fev;0,0;0,0;;;;;;
3;29 fev;2,0;1,0;;;;;;
4;01 mar;0,0;0,0;;;;;;
5;02 mar;0,0;0,0;;;;;;
6;03 mar;0,0;0,0;;;;;;
7;04 mar;3,0;1,0;;;;;;
8;05 mar;6,0;3,0;;;;;;
9;06 mar;10,0;4,0;;;;;;
10;07 mar;13,0;3,0;;;;;;
11;08 mar;16,0;3,0;;;;;;
12;09 mar;16,0;0,0;;;;;;
13;10 mar;19,0;3,0;;;;;;
14;11 mar;30,0;11,0;;;;;;
15;12 mar;46,0;16,0;;;;;;
16;13 mar;56,0;10,0;;;;;;
17;14 mar;65,0;9,0;;;;;;
18;15 mar;136,0;71,0;;;;;;
19;16 mar;152,0;16,0;;;;;;
20;17 mar;164,0;12,0;1,0;;;;;
21;18 mar;240,0;76,0;3,0;;;;;
22;19 mar;286,0;46,0;1,0;;;;;
23;20 mar;396,0;110,0;4,0;;;;;
24;21 mar;459,0;63,0;6,0;;;;;
25;22 mar;631,0;172,0;7,0;;;;;
26;23 mar;745,0;114,0;8,0;;;;;
27;24 mar;810,0;65,0;10,0;;;;;
28;25 mar;862,0;52,0;8,0;;;;;
29;26 mar;1052,0;190,0;10,0;;;;;
30;27 mar;1223,0;171,0;10,0;;;;;
31;28 mar;1406,0;183,0;16,0;;;;;
32;29 mar;1451,0;45,0;14,0;;;;;
33;30 mar;1517,0;66,0;15,0;;;;;
34;31 mar;2339,0;822,0;23,0;;;;;
35;01 abr;2981,0;642,0;28,0;;;;;
36;02 abr;3506,0;525,0;44,0;;;;;
37;03 abr;4048,0;542,0;11,0;;;;;
38;04 abr;4466,0;418,0;41,0;;;;;
39;05 abr;4620,0;154,0;15,0;;;;;
40;06 abr;4861,0;241,0;29,0;;;;;
41;07 abr;5682,0;821,0;67,0;;;;;
42;08 abr;6708,0;1026,0;57,0;;;;;
43;09 abr;7480,0;772,0;68,0;;;;;
44;10 abr;8216,0;736,0;44,0;;;;;
45;11 abr;8419,0;203,0;20,0;;;;;
46;12 abr;8755,0;336,0;28,0;;;;;
47;13 abr;8895,0;140,0;20,0;;;;;
48;14 abr;9371,0;476,0;87,0;;;;;
49;15 abr;11043,0;1672,0;83,0;;;;;
50;16 abr;11568,0;525,0;75,0;;;;;
51;17 abr;12841,0;1273,0;75,0;;;;;
52;18 abr;13894,0;1053,0;63,0;;;;;
53;19 abr;14267,0;373,0;24,0;;;;;
54;20 abr;14580,0;313,0;22,0;;;;;
55;21 abr;15385,0;805,0;56,0;;;;;
56;22 abr;15914,0;529,0;41,0;;;;;
57;23 abr;16740,0;826,0;211,0;;;;;
58;24 abr;17826,0;1086,0;167,0;;;;;
59;25 abr;20004,0;2178,0;155,0;;;;;
60;26 abr;20715,0;711,0;33,0;;;;;
61;27 abr;21696,0;981,0;125,0;;;;;
62;28 abr;24041,0;2345,0;224,0;;;;;
63;29 abr;26158,0;2117,0;198,0;;;;;
64;30 abr;28698,0;2540,0;128,0;;;;;
65;01 mai;30374,0;1676,0;136,0;;;;;
66;02 mai;31174,0;800,0;75,0;;;;;
67;03 mai;31772,0;598,0;41,0;;;;;
68;04 mai;32187,0;415,0;27,0;;;;;
69;05 mai;34053,0;1866,0;197,0;;;;;
70;06 mai;37853,0;3800,0;194,0;;;;;
71;07 mai;39928,0;2075,0;161,0;;;;;
72;08 mai;41830,0;1902,0;210,0;;;;;
73;09 mai;44411,0;2581,0;192,0;;;;;
74;10 mai;45444,0;1033,0;101,0;;;;;
75;11 mai;46131,0;687,0;34,0;;;;;
76;12 mai;47719,0;1588,0;206,0;;;;;
77;13 mai;51097,0;3378,0;169,0;;;;;
78;14 mai;54286,0;3189,0;197,0;;;;;
79;15 mai;58378,0;4092,0;186,0;;;;;
80;16 mai;61183,0;2805,0;187,0;;;;;
81;17 mai;62345,0;1162,0;94,0;;;;;
82;18 mai;63066,0;721,0;41,0;;;;;
