data,suspeitos,confirmados,óbitos,óbitos_suspeitos
23/03/2020,4743,477,30,
24/03/2020,4572,484,36,
25/03/2020,4300,537,41,
26/03/2020,4621,565,50,
30/03/2020,4311,593,100,
31/03/2020,8274,1438,118,
01/04/2020,8551,1503,141,
02/04/2020,8003,1520,165,
03/04/2020,7275,2321,180,
04/04/2020,9069,2729,213,
05/04/2020,9955,3612,219,
06/04/2020,10383,3754,244,
07/04/2020,12258,4503,297,
08/04/2020,14611,5137,341,
09/04/2020,16559,5832,364,
10/04/2020,18859,6379,412,
11/04/2020,19794,6585,422,
12/04/2020,20622,6805,445,
13/04/2020,20729,6831,456,
14/04/2020,21104,6993,520,
15/04/2020,28467,8024,563,
16/04/2020,32859,8889,620,1038
17/04/2020,35410,9357,690,1138
18/04/2020,39302,10127,743,1192
19/04/2020,40542,10388,807,1276
20/04/2020,41215,10624,847,1332
21/04/2020,41003,11265,896,1441
22/04/2020,44144,11383,919,1442
23/04/2020,45518,11025,1038,1515
24/04/2020,48130,12202,1153,1535
25/04/2020,54663,14279,1210,1675
26/04/2020,55402,13979,1320,1644
27/04/2020,56584,14104,1337,1693
28/04/2020,57931,15213,1418,1739
29/04/2020,57800,15925,1514,1824
30/04/2020,71855,18438,1665,1957
01/05/2020,77897,19679,1713,2036
02/05/2020,78161,19897,1744,2096
03/05/2020,81543,20464,1775,2142
04/05/2020,82579,20848,1832,2251
05/05/2020,87871,22249,1928,2372
06/05/2020,93312,23807,2006,2490
07/05/2020,98448,25043,2106,2624
08/05/2020,103246,26273,2187,2687
09/05/2020,107441,27414,2268,2750
10/05/2020,109207,28027,2305,2790
11/05/2020,109356,28089,2430,2708
12/05/2020,113408,30457,2542,2846
13/05/2020,119825,32372,2602,2959
14/05/2020,125215,33841,2681,3044
15/05/2020,131008,37106,2766,3143
16/05/2020,135348,38479,2832,3235
17/05/2020,135381,38605,2845,3090
18/05/2020,137386,39163,2940,3237
19/05/2020,142455,40750,3087,3412
20/05/2020,147991,42417,3186,3485
21/05/2020,151965,44516,3255,3560
22/05/2020,156729,46215,3316,3646
23/05/2020,164428,48528,3351,3671
24/05/2020,166603,49306,3390,3697
25/05/2020,164677,49596,,
