data,municipio,1a_dose,2a_dose,aplicadas_dia,total_doses,doses_recebidas,perc_aplicadas,perc_vacinadas_1a_dose,perc_vacinadas_2a_dose,populacao
12/02/2021,ADAMANTINA,1760,,,,,,5.192659467752405,,33894.0
12/02/2021,ADOLFO,210,,,,,,6.092254134029591,,3447.0
12/02/2021,AGUAI,684,,,,,,1.9209166479442823,,35608.0
12/02/2021,AGUAS DA PRATA,303,,,,,,3.886110042323971,,7797.0
12/02/2021,AGUAS DE LINDOIA,442,,,,,,2.4055730924131926,,18374.0
12/02/2021,AGUAS DE SANTA BARBARA,198,,,,,,3.338391502276176,,5931.0
12/02/2021,AGUAS DE SAO PEDRO,208,,,,,,6.662395900064061,,3122.0
12/02/2021,AGUDOS,2007,,,,,,5.554325565948968,,36134.0
12/02/2021,ALAMBARI,150,,,,,,2.595604775912788,,5779.0
12/02/2021,ALFREDO MARCONDES,212,,,,,,5.398523045581869,,3927.0
12/02/2021,ALTAIR,224,,,,,,5.550049554013875,,4036.0
12/02/2021,ALTINOPOLIS,481,,,,,,3.092650935510834,,15553.0
12/02/2021,ALTO ALEGRE,159,,,,,,3.958177744585512,,4017.0
12/02/2021,ALUMINIO,416,,,,,,2.314711773870465,,17972.0
12/02/2021,ALVARES FLORENCE,129,,,,,,3.5625517812758902,,3621.0
12/02/2021,ALVARES MACHADO,750,,,,,,3.152717642607928,,23789.0
12/02/2021,ALVARO DE CARVALHO,113,,,,,,2.240285487708168,,5044.0
12/02/2021,ALVINLANDIA,119,,,,,,3.746851385390429,,3176.0
12/02/2021,AMERICANA,5536,,,,,,2.3713044744665,,233458.0
12/02/2021,AMERICO BRASILIENSE,1182,,,,,,2.937156772606416,,40243.0
12/02/2021,AMERICO DE CAMPOS,279,,,,,,4.864016736401674,,5736.0
12/02/2021,AMPARO,2374,,,,,,3.409009319490516,,69639.0
12/02/2021,ANALANDIA,167,,,,,,3.443298969072165,,4850.0
12/02/2021,ANDRADINA,1642,,,,,,2.929318157490991,,56054.0
12/02/2021,ANGATUBA,536,,,,,,2.1876658095587933,,24501.0
12/02/2021,ANHEMBI,149,,,,,,2.233213429256595,,6672.0
12/02/2021,ANHUMAS,201,,,,,,5.071915215745648,,3963.0
12/02/2021,APARECIDA,648,,,,,,1.8146685709485004,,35709.0
12/02/2021,APARECIDA D'OESTE,314,,,,,,7.599225556631171,,4132.0
12/02/2021,APIAI,561,,,,,,2.2743857942106547,,24666.0
12/02/2021,ARACARIGUAMA,359,,,,,,1.7111534795042898,,20980.0
12/02/2021,ARACATUBA,10009,,,,,,5.254923373357345,,190469.0
12/02/2021,ARACOIABA DA SERRA,797,,,,,,2.4606359987650506,,32390.0
12/02/2021,ARAMINA,140,,,,,,2.547307132459971,,5496.0
12/02/2021,ARANDU,163,,,,,,2.643957826439578,,6165.0
12/02/2021,ARAPEI,73,,,,,,2.954269526507487,,2471.0
12/02/2021,ARARAQUARA,11414,,,,,,5.014541907933467,,227618.0
12/02/2021,ARARAS,5862,,,,,,4.472862952761012,,131057.0
12/02/2021,ARCO-IRIS,244,,,,,,13.43612334801762,,1816.0
12/02/2021,AREALVA,300,,,,,,3.660322108345535,,8196.0
12/02/2021,AREIAS,118,,,,,,3.0705178246161853,,3843.0
12/02/2021,AREIOPOLIS,189,,,,,,1.7408123791102514,,10857.0
12/02/2021,ARIRANHA,435,,,,,,4.667381974248927,,9320.0
12/02/2021,ARTUR NOGUEIRA,1244,,,,,,2.3646144195860024,,52609.0
12/02/2021,ARUJA,648,,,,,,0.7220538420395792,,89744.0
12/02/2021,ASPASIA,73,,,,,,4.135977337110481,,1765.0
12/02/2021,ASSIS,4273,,,,,,4.214793699016581,,101381.0
12/02/2021,ATIBAIA,6592,,,,,,4.721860091973125,,139606.0
12/02/2021,AURIFLAMA,454,,,,,,3.137309100960542,,14471.0
12/02/2021,AVAI,445,,,,,,8.415279878971257,,5288.0
12/02/2021,AVANHANDAVA,322,,,,,,2.658081558527324,,12114.0
12/02/2021,AVARE,4127,,,,,,4.714523978158057,,87538.0
12/02/2021,BADY BASSITT,672,,,,,,4.115377549145692,,16329.0
12/02/2021,BALBINOS,106,,,,,,2.8617710583153344,,3704.0
12/02/2021,BALSAMO,352,,,,,,4.1295166588456125,,8524.0
12/02/2021,BANANAL,430,,,,,,4.037179607548587,,10651.0
12/02/2021,BARAO DE ANTONINA,194,,,,,,5.734555128584097,,3383.0
12/02/2021,BARBOSA,316,,,,,,4.338275672707304,,7284.0
12/02/2021,BARIRI,1538,,,,,,4.524460918424381,,33993.0
12/02/2021,BARRA BONITA,1546,,,,,,4.428023142578908,,34914.0
