data,hospital,leitos,comum,uti,ocupação_comum,ocupação_uti,altas,óbitos,transferidos,chegando
06/04/2020,Pacaembu,200,184,16,2,1,0,0,0,7
07/04/2020,Pacaembu,200,184,16,20,2,0,0,1,10
08/04/2020,Pacaembu,200,184,16,28,1,0,0,1,15
09/04/2020,Pacaembu,200,184,16,31,2,3,0,2,17
10/04/2020,Pacaembu,200,184,16,41,1,6,0,2,11
11/04/2020,Pacaembu,200,184,16,45,2,3,0,0,13
11/04/2020,Anhembi,326,310,16,1,0,0,0,0,7
12/04/2020,Pacaembu,200,184,16,55,6,3,1,0,19
12/04/2020,Anhembi,326,310,16,12,1,0,0,0,0
13/04/2020,Pacaembu,200,184,16,58,3,5,0,0,11
13/04/2020,Anhembi,326,310,16,44,7,1,0,0,7
14/04/2020,Pacaembu,200,184,16,74,2,1,0,0,9
14/04/2020,Anhembi,326,310,16,48,6,1,0,1,2
15/04/2020,Pacaembu,200,184,16,80,6,6,0,0,10
15/04/2020,Anhembi,326,310,16,48,2,1,0,3,4
16/04/2020,Pacaembu,200,184,16,61,3,11,0,0,8
16/04/2020,Anhembi,887,813,74,49,5,22,0,4,12
17/04/2020,Pacaembu,200,184,16,73,8,0,0,0,8
17/04/2020,Anhembi,887,813,74,74,2,7,0,2,20
18/04/2020,Pacaembu,200,184,16,79,8,0,0,0,12
18/04/2020,Anhembi,887,813,74,92,5,28,0,12,41
19/04/2020,Pacaembu,200,184,16,75,6,21,0,1,14
19/04/2020,Anhembi,887,813,74,122,7,13,1,4,24
20/04/2020,Pacaembu,200,184,16,76,3,5,0,3,6
20/04/2020,Anhembi,887,813,74,144,8,23,0,5,19
21/04/2020,Pacaembu,200,184,16,81,0,3,0,4,7
21/04/2020,Anhembi,887,813,74,152,7,28,0,8,18
22/04/2020,Pacaembu,200,184,16,91,3,1,0,0,11
22/04/2020,Anhembi,887,813,74,164,8,20,1,7,15
23/04/2020,Pacaembu,200,184,16,101,8,11,0,0,34
23/04/2020,Anhembi,887,813,74,182,4,27,0,5,24
24/04/2020,Pacaembu,200,184,16,112,4,5,0,0,28
24/04/2020,Anhembi,887,813,74,210,8,20,0,4,27
25/04/2020,Pacaembu,200,184,16,116,6,15,0,0,0
25/04/2020,Anhembi,887,813,74,267,13,27,0,5,64
26/04/2020,Pacaembu,200,184,16,123,9,8,0,3,5
26/04/2020,Anhembi,887,813,74,335,18,35,0,9,36
27/04/2020,Pacaembu,200,184,16,116,13,19,0,6,9
27/04/2020,Anhembi,887,813,74,352,28,51,0,5,34
28/04/2020,Pacaembu,200,184,16,138,5,18,0,7,18
28/04/2020,Anhembi,887,813,74,372,26,42,2,12,51
29/04/2020,Pacaembu,200,184,16,139,6,20,0,4,3
29/04/2020,Anhembi,887,813,74,397,16,54,2,13,41
30/04/2020,Pacaembu,200,184,16,138,3,18,0,1,3
30/04/2020,Anhembi,887,813,74,419,9,62,2,13,39
01/05/2020,Pacaembu,200,184,16,135,9,16,0,3,10
01/05/2020,Anhembi,887,813,74,427,12,55,0,5,46
02/05/2020,Pacaembu,200,184,16,148,8,10,0,7,12
02/05/2020,Anhembi,887,813,74,425,18,76,0,11,61
03/05/2020,Pacaembu,200,184,16,157,5,12,0,4,6
03/05/2020,Anhembi,887,813,74,434,18,71,1,13,37
04/05/2020,Pacaembu,200,184,16,153,4,25,0,1,14
04/05/2020,Anhembi,887,813,74,452,16,48,3,8,16
05/05/2020,Pacaembu,200,184,16,143,8,28,0,1,18
05/05/2020,Anhembi,887,813,74,456,15,83,0,9,64
06/05/2020,Pacaembu,200,184,16,151,10,19,0,4,14
06/05/2020,Anhembi,887,813,74,467,13,79,0,7,48
07/05/2020,Pacaembu,200,184,16,154,9,21,0,4,9
07/05/2020,Anhembi,887,813,74,496,12,62,0,9,57
08/05/2020,Pacaembu,200,184,16,144,4,24,0,4,16
08/05/2020,Anhembi,887,813,74,538,17,55,0,5,82
09/05/2020,Pacaembu,200,184,16,147,4,31,0,5,16
09/05/2020,Anhembi,887,813,74,530,16,95,0,12,61
10/05/2020,Pacaembu,200,184,16,146,4,26,0,4,14
10/05/2020,Anhembi,887,813,74,522,17,86,1,19,94
11/05/2020,Pacaembu,200,184,16,138,4,26,0,3,22
11/05/2020,Anhembi,887,813,74,497,24,70,4,11,64
12/05/2020,Pacaembu,200,184,16,158,9,17,0,3,12
12/05/2020,Anhembi,887,813,74,500,19,85,1,9,91
13/05/2020,Pacaembu,200,184,16,151,8,27,0,3,16
13/05/2020,Anhembi,887,813,74,488,18,88,1,12,110
14/05/2020,Pacaembu,200,184,16,154,7,18,0,6,6
14/05/2020,Anhembi,887,813,74,541,16,63,0,12,99
15/05/2020,Pacaembu,200,184,16,152,7,21,0,6,12
15/05/2020,Anhembi,887,813,74,573,28,40,0,8,63
16/05/2020,Pacaembu,200,184,16,152,9,18,0,6,8
16/05/2020,Anhembi,887,813,74,550,34,41,0,11,69
17/05/2020,Pacaembu,200,184,16,159,7,13,0,5,7
