;datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_28d;internacoes_28d_l;internacoes_28v28
0;2020-10-08;DRS 01 Grande São Paulo;2036,86;4829,86;42,17;21138247;22,85;16935;21846;-22,48
1;2020-10-08;DRS 02 Araçatuba;58,71;118,57;49,52;764041;15,52;452;416;8,65
2;2020-10-08;DRS 03 Araraquara;45,14;123,29;36,61;991435;12,44;934;1014;-7,89
3;2020-10-08;DRS 04 Baixada Santista;108,14;409,14;26,43;1831884;22,33;797;1067;-25,3
4;2020-10-08;DRS 05 Barretos;55,57;91,86;60,49;425090;21,61;615;541;13,68
5;2020-10-08;DRS 06 Bauru;148,57;227,57;65,29;1741281;13,07;1405;1390;1,08
6;2020-10-08;DRS 07 Campinas;277,57;718,71;38,62;4562125;15,75;2445;3433;-28,78
7;2020-10-08;DRS 08 Franca;61,0;110,0;55,45;696336;15,8;505;658;-23,25
8;2020-10-08;DRS 09 Marília;65,86;160,0;41,16;1109670;14,42;686;783;-12,39
9;2020-10-08;DRS 10 Piracicaba;89,86;244,86;36,7;1539600;15,9;718;1047;-31,42
10;2020-10-08;DRS 11 Presidente Prudente;49,43;77,43;63,84;752260;10,29;655;740;-11,49
11;2020-10-08;DRS 12 Registro;11,29;39,0;28,95;278754;13,99;162;173;-6,36
12;2020-10-08;DRS 13 Ribeirão Preto;169,14;308,29;54,86;1477530;20,87;1600;1922;-16,75
13;2020-10-08;DRS 14 São João da Boa Vista;55,43;124,71;44,45;809836;15,4;617;598;3,18
14;2020-10-08;DRS 15 São José do Rio Preto;266,29;445,29;59,8;1570421;28,35;2378;2458;-3,25
15;2020-10-08;DRS 16 Sorocaba;113,14;240,57;47,03;2461760;9,77;1132;1277;-11,35
16;2020-10-08;DRS 17 Taubaté;157,0;434,86;36,1;2489629;17,47;1534;2321;-33,91
17;2020-10-08;Estado de São Paulo;3769,0;8704,0;43,3;44639899;19,5;33570;41684;-19,47
18;2020-10-09;DRS 01 Grande São Paulo;2027,43;4822,29;42,04;21138247;22,81;16801;21613;-22,26
19;2020-10-09;DRS 02 Araçatuba;58,86;119,43;49,28;764041;15,63;457;405;12,84
20;2020-10-09;DRS 03 Araraquara;45,14;123,14;36,66;991435;12,42;925;1004;-7,87
21;2020-10-09;DRS 04 Baixada Santista;107,0;412,29;25,95;1831884;22,51;782;1065;-26,57
22;2020-10-09;DRS 05 Barretos;56,14;91,57;61,31;425090;21,54;614;535;14,77
23;2020-10-09;DRS 06 Bauru;150,57;227,57;66,16;1741281;13,07;1405;1396;0,64
24;2020-10-09;DRS 07 Campinas;271,57;697,14;38,95;4562125;15,28;2404;3392;-29,13
25;2020-10-09;DRS 08 Franca;59,57;110,0;54,15;696336;15,8;492;665;-26,02
26;2020-10-09;DRS 09 Marília;66,0;160,0;41,25;1109670;14,42;697;773;-9,83
27;2020-10-09;DRS 10 Piracicaba;87,71;244,57;35,86;1539600;15,89;727;1008;-27,88
28;2020-10-09;DRS 11 Presidente Prudente;48,86;77,86;62,75;752260;10,35;651;737;-11,67
29;2020-10-09;DRS 12 Registro;11,29;39,0;28,95;278754;13,99;160;171;-6,43
30;2020-10-09;DRS 13 Ribeirão Preto;165,29;308,43;53,59;1477530;20,87;1602;1919;-16,52
31;2020-10-09;DRS 14 São João da Boa Vista;55,86;126,29;44,23;809836;15,59;611;605;0,99
32;2020-10-09;DRS 15 São José do Rio Preto;265,29;445,0;59,62;1570421;28,34;2412;2451;-1,59
33;2020-10-09;DRS 16 Sorocaba;111,43;238,0;46,82;2461760;9,67;1135;1261;-9,99
34;2020-10-09;DRS 17 Taubaté;152,57;434,43;35,12;2489629;17,45;1511;2293;-34,1
35;2020-10-09;Estado de São Paulo;3740,57;8677,0;43,11;44639899;19,44;33386;41293;-19,15
36;2020-10-10;DRS 01 Grande São Paulo;2022,0;4812,57;42,01;21138247;22,77;16715;21274;-21,43
37;2020-10-10;DRS 02 Araçatuba;59,86;119,43;50,12;764041;15,63;474;402;17,91
38;2020-10-10;DRS 03 Araraquara;45,14;123,0;36,7;991435;12,41;929;989;-6,07
39;2020-10-10;DRS 04 Baixada Santista;106,29;412,29;25,78;1831884;22,51;762;1061;-28,18
40;2020-10-10;DRS 05 Barretos;56,86;91,29;62,29;425090;21,48;611;541;12,94
41;2020-10-10;DRS 06 Bauru;152,14;227,71;66,81;1741281;13,08;1408;1386;1,59
42;2020-10-10;DRS 07 Campinas;267,57;679,29;39,39;4562125;14,89;2374;3347;-29,07
43;2020-10-10;DRS 08 Franca;57,29;110,0;52,08;696336;15,8;488;669;-27,06
44;2020-10-10;DRS 09 Marília;66,57;159,29;41,79;1109670;14,35;709;759;-6,59
45;2020-10-10;DRS 10 Piracicaba;84,71;243,71;34,76;1539600;15,83;730;986;-25,96
46;2020-10-10;DRS 11 Presidente Prudente;48,43;77,86;62,2;752260;10,35;651;729;-10,7
47;2020-10-10;DRS 12 Registro;11,14;39,0;28,56;278754;13,99;161;165;-2,42
48;2020-10-10;DRS 13 Ribeirão Preto;160,43;308,57;51,99;1477530;20,88;1597;1894;-15,68
49;2020-10-10;DRS 14 São João da Boa Vista;55,43;126,86;43,69;809836;15,66;610;608;0,33
50;2020-10-10;DRS 15 São José do Rio Preto;264,0;444,29;59,42;1570421;28,29;2423;2429;-0,25
51;2020-10-10;DRS 16 Sorocaba;111,57;236,43;47,19;2461760;9,6;1123;1262;-11,01
52;2020-10-10;DRS 17 Taubaté;148,86;435,43;34,19;2489629;17,49;1503;2267;-33,7
53;2020-10-10;Estado de São Paulo;3718,29;8647,0;43,0;44639899;19,37;33268;40768;-18,4
54;2020-10-11;DRS 01 Grande São Paulo;2007,0;4781,86;41,97;21138247;22,62;16541;21049;-21,42
55;2020-10-11;DRS 02 Araçatuba;60,0;120,0;50,0;764041;15,71;479;400;19,75
56;2020-10-11;DRS 03 Araraquara;46,71;123,43;37,84;991435;12,45;932;972;-4,12
57;2020-10-11;DRS 04 Baixada Santista;106,86;411,71;25,96;1831884;22,47;748;1062;-29,57
58;2020-10-11;DRS 05 Barretos;57,0;91,0;62,64;425090;21,41;613;534;14,79
59;2020-10-11;DRS 06 Bauru;152,0;228,0;66,67;1741281;13,09;1376;1401;-1,78
60;2020-10-11;DRS 07 Campinas;260,57;670,57;38,86;4562125;14,7;2319;3311;-29,96
61;2020-10-11;DRS 08 Franca;56,0;110,0;50,91;696336;15,8;492;660;-25,45
62;2020-10-11;DRS 09 Marília;65,57;159,43;41,13;1109670;14,37;705;753;-6,37
63;2020-10-11;DRS 10 Piracicaba;81,43;242,57;33,57;1539600;15,76;719;964;-25,41
64;2020-10-11;DRS 11 Presidente Prudente;49,71;78,14;63,62;752260;10,39;644;734;-12,26
