data,município,populacao,UF,isolamento,dia
2020-02-26,Bragança Paulista,170533,SP,30,26 fev 20
2020-02-26,Marília,240590,SP,30,26 fev 20
2020-02-26,Jandira,126356,SP,30,26 fev 20
2020-02-26,Bauru,379297,SP,30,26 fev 20
2020-02-26,Fernandópolis,69402,SP,31,26 fev 20
2020-02-26,Barretos,122833,SP,31,26 fev 20
2020-02-26,Jundiaí,423006,SP,31,26 fev 20
2020-02-26,Sorocaba,687357,SP,31,26 fev 20
2020-02-26,Cubatão,131626,SP,31,26 fev 20
2020-02-26,Várzea Paulista,123071,SP,31,26 fev 20
2020-02-26,Carapicuíba,403183,SP,31,26 fev 20
2020-02-26,Itatiba,122581,SP,31,26 fev 20
2020-02-26,Catanduva,122497,SP,31,26 fev 20
2020-02-26,Registro,56393,SP,32,26 fev 20
2020-02-26,Itapeva,94804,SP,32,26 fev 20
2020-02-26,Araçatuba,198129,SP,32,26 fev 20
2020-02-26,Guarulhos,1392121,SP,32,26 fev 20
2020-02-26,Ourinhos,114352,SP,32,26 fev 20
2020-02-26,Salto,119736,SP,32,26 fev 20
2020-02-26,Itapetininga,165526,SP,32,26 fev 20
2020-02-26,Tatuí,122967,SP,32,26 fev 20
2020-02-26,Santa Isabel,57966,SP,32,26 fev 20
2020-02-26,Barueri,276982,SP,32,26 fev 20
2020-02-26,Botucatu,148130,SP,32,26 fev 20
2020-02-26,Franco da Rocha,156492,SP,32,26 fev 20
2020-02-26,Itu,175568,SP,32,26 fev 20
2020-02-26,Diadema,426757,SP,32,26 fev 20
2020-02-26,Jacareí,235416,SP,32,26 fev 20
2020-02-26,Birigui,124883,SP,32,26 fev 20
2020-02-26,Avaré,91232,SP,32,26 fev 20
2020-02-26,Cajamar,77934,SP,32,26 fev 20
2020-02-26,Guarujá,322750,SP,32,26 fev 20
2020-02-26,Votorantim,123599,SP,32,26 fev 20
2020-02-26,Assis,105087,SP,32,26 fev 20
2020-02-26,Guaratinguetá,122505,SP,32,26 fev 20
2020-02-26,Piracicaba,407252,SP,33,26 fev 20
2020-02-26,Poá,118349,SP,33,26 fev 20
2020-02-26,Lençóis Paulista,68990,SP,33,26 fev 20
2020-02-26,Itapecerica da Serra,177662,SP,33,26 fev 20
