data,respiratorio_publico,suspeitos_publico,internados_publico,uti_covid_publico,internados_uti_publico,ventilacao_publico,ocupacao_uti_covid_publico
24/04/2020,904,218,681,,296,218,67
25/04/2020,1057,444,1036,,298,213,64
26/04/2020,685,389,1122,,336,246,74
27/04/2020,760,273,1203,,340,217,72
28/04/2020,1011,292,1200,,346,246,75
29/04/2020,821,241,1209,,334,236,72
30/04/2020,997,302,1296,,356,248,71
01/05/2020,1249,286,1272,,355,261,72
02/05/2020,853,290,1348,,390,272,79
03/05/2020,921,293,1062,,361,262,76
04/05/2020,688,257,1336,,407,281,82
05/05/2020,1111,411,1381,,483,301,87
06/05/2020,979,396,1493,,415,308,82
07/05/2020,927,341,1663,,428,328,83
08/05/2020,806,294,1673,,436,350,85
09/05/2020,687,269,1621,,424,349,86
10/05/2020,752,303,1652,,426,313,87
11/05/2020,698,248,1676,,423,374,82
12/05/2020,984,325,1666,,429,334,83
13/05/2020,906,320,1697,,433,358,89
14/05/2020,918,320,1757,,453,358,84
15/05/2020,822,311,1822,,460,355,86
16/05/2020,780,308,1847,,479,364,89
17/05/2020,690,268,1900,,491,370,91
18/05/2020,652,228,1798,,491,363,91
19/05/2020,1082,292,1834,,495,355,89
20/05/2020,935,339,2175,,521,403,92
21/05/2020,894,347,1925,,524,393,88
22/05/2020,919,333,1934,,507,349,87
23/05/2020,1226,413,1947,,555,392,90
24/05/2020,710,236,1942,,570,393,88
25/05/2020,746,280,1930,,578,397,88
26/05/2020,857,240,1920,692.0,587,424,85
27/05/2020,994,418,1971,692.0,627,440,91
28/05/2020,841,349,1897,732.0,608,424,83
29/05/2020,898,395,1873,750.0,601,463,80
30/05/2020,903,298,1817,760.0,599,398,79
31/05/2020,770,294,1861,760.0,634,411,83
01/06/2020,724,298,1615,994.0,611,422,61
02/06/2020,1053,486,1757,1003.0,608,393,61
03/06/2020,855,362,1833,1003.0,621,402,62
04/06/2020,826,377,1761,1003.0,622,372,62
05/06/2020,826,378,1722,1003.0,628,406,63
06/06/2020,941,405,1767,1003.0,635,399,63
07/06/2020,715,278,1736,1003.0,656,415,65
08/06/2020,649,269,1701,1003.0,646,405,64
09/06/2020,1094,473,1797,1003.0,660,419,66
10/06/2020,948,411,1682,1003.0,638,401,64
11/06/2020,933,417,1701,1003.0,628,359,63
12/06/2020,897,328,1631,1003.0,601,359,60
13/06/2020,620,323,1652,1003.0,601,353,60
14/06/2020,594,376,1552,1003.0,584,352,58
15/06/2020,790,362,1503,1003.0,590,324,59
16/06/2020,980,434,1522,1033.0,583,316,56
17/06/2020,859,370,1503,1033.0,585,340,57
18/06/2020,782,245,1499,1043.0,580,329,56
19/06/2020,845,351,1496,1043.0,576,312,55
20/06/2020,743,332,1628,1043.0,591,325,57
21/06/2020,652,297,1527,1043.0,607,339,58
22/06/2020,759,370,1443,1043.0,575,337,55
23/06/2020,1065,468,1455,1043.0,554,304,53
24/06/2020,880,469,1396,1043.0,559,320,54
25/06/2020,896,432,1413,1043.0,571,330,55
26/06/2020,877,442,1360,1043.0,565,325,54
27/06/2020,696,301,1354,1043.0,560,320,54
28/06/2020,533,296,1274,1043.0,510,323,49
29/06/2020,718,345,1304,1043.0,587,317,56
30/06/2020,1101,497,1326,1043.0,562,274,54
01/07/2020,914,421,1295,1043.0,555,319,53
