data,respiratorio_privado,suspeitos_privado,internados_privado,uti_covid_privado,internados_uti_privado,ventilacao_privado,ocupacao_uti_covid_privado
27/05/2020,,,151.0,164,151,,92.0
28/05/2020,,,,161,104,,64.5
29/05/2020,,,128.0,155,117,,75.0
30/05/2020,,,176.0,155,133,81.0,86.0
31/05/2020,,,179.0,155,133,79.0,86.0
01/06/2020,,,161.0,205,129,57.0,63.0
02/06/2020,,,185.0,175,131,64.0,75.0
03/06/2020,,,188.0,175,132,78.0,75.0
04/06/2020,,,191.0,175,135,78.0,77.0
05/06/2020,,4.0,190.0,175,139,79.0,79.0
06/06/2020,,,182.0,175,134,72.0,77.0
07/06/2020,,6.0,188.0,175,137,77.0,78.0
08/06/2020,,,141.0,175,98,60.0,56.0
09/06/2020,,,180.0,180,138,74.0,77.0
10/06/2020,,,200.0,180,140,74.0,78.0
11/06/2020,,,207.0,180,146,82.0,81.0
12/06/2020,,,201.0,180,148,76.0,82.0
13/06/2020,,,206.0,180,143,81.0,79.0
14/06/2020,,,157.0,180,138,68.0,77.0
15/06/2020,,,194.0,180,140,69.0,78.0
16/06/2020,,,194.0,180,145,62.0,81.0
17/06/2020,,,193.0,180,148,69.0,82.0
18/06/2020,,,196.0,180,146,87.0,81.0
19/06/2020,,,190.0,190,144,67.0,76.0
20/06/2020,,,197.0,190,142,60.0,75.0
21/06/2020,,,193.0,190,139,68.0,73.0
22/06/2020,,1.0,190.0,190,138,68.0,73.0
23/06/2020,,,204.0,190,146,69.0,77.0
24/06/2020,,,205.0,190,145,58.0,76.0
25/06/2020,,1.0,177.0,190,126,54.0,66.0
26/06/2020,,,200.0,190,143,62.0,75.0
27/06/2020,,,211.0,190,143,83.0,75.0
28/06/2020,,,188.0,190,138,66.0,73.0
29/06/2020,,,192.0,190,140,57.0,74.0
30/06/2020,,,192.0,190,142,58.0,75.0
01/07/2020,,,183.0,190,137,62.0,72.0
02/07/2020,,,180.0,190,130,46.0,68.0
03/07/2020,,,173.0,190,128,54.0,67.0
