data,respiratorio_total,suspeitos_total,internados_total,uti_covid_total,internados_uti_total,ventilacao_total,ocupacao_uti_covid_total
26/05/2020,,,,1007,,,
27/05/2020,,,2122.0,856,778.0,,92.0
28/05/2020,,,,893,712.0,,
29/05/2020,898.0,395.0,2001.0,905,718.0,,79.0
30/05/2020,903.0,298.0,1993.0,915,732.0,479.0,80.0
31/05/2020,770.0,294.0,2040.0,915,767.0,490.0,84.0
01/06/2020,724.0,298.0,1776.0,1199,740.0,479.0,62.0
02/06/2020,1053.0,486.0,1942.0,1178,739.0,457.0,63.0
03/06/2020,855.0,362.0,2021.0,1178,753.0,480.0,64.0
04/06/2020,826.0,377.0,1952.0,1178,757.0,450.0,64.0
05/06/2020,826.0,382.0,1912.0,1178,767.0,485.0,65.0
06/06/2020,941.0,405.0,1949.0,1178,769.0,471.0,65.0
07/06/2020,715.0,284.0,1924.0,1178,793.0,492.0,67.0
08/06/2020,649.0,269.0,1842.0,1178,744.0,465.0,63.0
09/06/2020,1094.0,473.0,1977.0,1183,798.0,493.0,67.0
10/06/2020,948.0,411.0,1882.0,1183,778.0,475.0,66.0
11/06/2020,933.0,417.0,1908.0,1183,774.0,441.0,65.0
12/06/2020,897.0,328.0,1832.0,1183,749.0,435.0,63.0
13/06/2020,620.0,323.0,1858.0,1183,744.0,434.0,63.0
14/06/2020,594.0,376.0,1709.0,1183,722.0,420.0,61.0
